age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,y
lt30,bluecollar,single,primary,no,no,telephone,summer,fri,100to179,eq1,no,no
ge50,housemaid,married,primary,no,no,telephone,spring,thu,ge320,gt2,no,no
30to39,admin,single,tertiary,yes,no,cellular,summer,tue,ge320,eq2,no,no
30to39,unemployed,single,tertiary,yes,yes,telephone,spring,thu,lt100,eq1,no,no
30to39,technician,married,secondary,no,no,cellular,spring,mon,180to319,eq2,yes,no
40to49,selfemployed,married,tertiary,yes,no,telephone,spring,tue,100to179,gt2,no,no
ge50,admin,married,tertiary,no,yes,telephone,spring,mon,lt100,eq1,no,no
40to49,bluecollar,single,tertiary,yes,no,cellular,summer,thu,100to179,eq1,no,no
30to39,entrepreneur,married,secondary,yes,no,cellular,autum,thu,ge320,eq1,no,no
30to39,technician,married,tertiary,yes,no,cellular,spring,mon,lt100,gt2,no,no
30to39,admin,single,tertiary,yes,no,cellular,spring,thu,180to319,eq2,yes,no
40to49,admin,married,tertiary,no,no,cellular,summer,thu,lt100,gt2,no,no
ge50,retired,married,primary,yes,no,telephone,autum,fri,ge320,eq2,yes,yes
40to49,admin,married,secondary,yes,yes,telephone,summer,mon,ge320,eq1,no,no
40to49,admin,married,secondary,yes,no,cellular,summer,thu,lt100,eq1,no,no
ge50,retired,divorced,tertiary,no,no,cellular,summer,tue,ge320,eq1,no,no
30to39,management,married,tertiary,no,no,cellular,spring,wed,ge320,eq2,no,yes
ge50,retired,married,tertiary,no,no,cellular,summer,wed,lt100,gt2,no,no
ge50,admin,married,tertiary,yes,no,cellular,summer,fri,lt100,gt2,no,no
ge50,selfemployed,married,tertiary,yes,yes,telephone,summer,mon,100to179,eq1,no,no
lt30,management,single,tertiary,no,yes,cellular,summer,thu,lt100,eq1,no,no
ge50,retired,married,primary,no,no,telephone,autum,fri,180to319,eq1,no,yes
ge50,admin,married,secondary,yes,no,cellular,autum,fri,100to179,eq2,yes,no
lt30,admin,single,secondary,yes,no,cellular,summer,mon,180to319,eq1,no,no
ge50,housemaid,divorced,tertiary,yes,no,cellular,autum,tue,100to179,eq1,no,no
30to39,bluecollar,married,primary,no,no,telephone,summer,fri,100to179,eq1,no,no
40to49,entrepreneur,divorced,secondary,yes,no,telephone,spring,mon,180to319,gt2,no,no
lt30,services,married,secondary,no,no,cellular,summer,tue,180to319,eq1,no,no
30to39,unemployed,single,tertiary,yes,no,telephone,summer,fri,100to179,eq1,no,no
lt30,services,single,tertiary,yes,no,cellular,spring,mon,100to179,gt2,no,no
30to39,bluecollar,single,tertiary,yes,no,telephone,summer,wed,lt100,eq2,no,no
lt30,selfemployed,married,tertiary,no,no,telephone,summer,wed,180to319,gt2,no,no
ge50,bluecollar,married,primary,yes,no,telephone,spring,thu,100to179,eq2,no,no
30to39,admin,single,tertiary,yes,yes,cellular,spring,fri,100to179,eq1,no,no
ge50,management,married,tertiary,yes,no,telephone,autum,mon,lt100,eq1,no,no
lt30,bluecollar,single,primary,yes,no,cellular,summer,fri,ge320,gt2,no,no
ge50,selfemployed,married,tertiary,yes,no,cellular,summer,thu,100to179,eq1,no,no
40to49,bluecollar,married,primary,no,no,telephone,spring,mon,lt100,gt2,no,no
40to49,admin,married,primary,yes,yes,telephone,spring,thu,180to319,eq1,no,no
30to39,admin,single,tertiary,no,no,telephone,summer,wed,lt100,gt2,no,no
40to49,admin,married,primary,no,no,cellular,summer,fri,ge320,gt2,no,no
30to39,services,married,primary,yes,yes,telephone,spring,thu,ge320,eq2,no,no
40to49,bluecollar,married,primary,yes,no,cellular,spring,tue,ge320,eq1,no,no
lt30,unemployed,single,primary,no,yes,cellular,summer,tue,180to319,eq1,yes,yes
ge50,bluecollar,married,primary,no,no,cellular,spring,fri,100to179,eq1,no,no
ge50,retired,married,primary,yes,no,cellular,spring,thu,100to179,eq1,no,no
30to39,bluecollar,married,primary,no,no,telephone,spring,wed,180to319,eq1,no,no
40to49,admin,married,secondary,no,no,telephone,spring,fri,180to319,eq1,no,no
ge50,retired,married,primary,no,no,cellular,summer,mon,lt100,eq2,no,no
30to39,entrepreneur,married,primary,yes,no,telephone,spring,fri,100to179,gt2,no,no
30to39,admin,single,tertiary,yes,no,cellular,spring,tue,180to319,gt2,no,no
