TimeOfStop,SubAgency,Description,VehicleType,ViolationType,Race,Gender,ArrestType
17,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
12,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
9,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,2nd district Bethesda,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
13,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,1st district Rockville,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
16,2nd district Bethesda,PHONE RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
0,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,F,A - Marked Patrol
21,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
17,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
13,5th district Germantown,ACCIDENT RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
8,1st district Rockville,LICENSE OR REGISTRATION RELATED,28 - Other,Citation,HISPANIC,M,A - Marked Patrol
