TimeOfStop, SubAgency, Description, State, VehicleType, Year, Make, Color, ViolationType, Article, ContributedToAccident, Race, Gender, DriverCity, DriverState, DLState, ArrestType
17:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2008, FORD, BLACK, Citation, Transportation Article, No, BLACK, M, TAKOMA PARK, MD, MD, A - Marked Patrol
10:00:00, 2nd district Bethesda, DISOBEY TRAFFIC CONTROL, VA, 02 - Automobile, 2001, TOYOTA, GREEN, Citation, Transportation Article, No, WHITE, F, FAIRFAX STATION, VA, VA, A - Marked Patrol
12:00:00, 6th district Gaithersburg / Montgomery Village, MINOR INFRACTION, MD, 02 - Automobile, 2001, HONDA, SILVER, Citation, Transportation Article, No, BLACK, F, UPPER MARLBORO, MD, MD, A - Marked Patrol
9:00:00, 3rd district Silver Spring, MINOR INFRACTION, MD, 02 - Automobile, 1998, DODG, WHITE, Citation, Transportation Article, No, BLACK, M, FORT WASHINGTON, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, RECKLESS DRIVING, MD, 02 - Automobile, 2015, MINI COOPER, WHITE, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
0:00:00, 2nd district Bethesda, RECKLESS DRIVING, MD, 02 - Automobile, 2013, HYUNDAI, GRAY, Citation, Transportation Article, No, WHITE, F, SILVER SPRING, MD, MD, A - Marked Patrol
13:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 1993, FORD, BLACK, Citation, Transportation Article, No, HISPANIC, M, BELTSVILLE, MD, MD, A - Marked Patrol
0:00:00, 1st district Rockville, MINOR INFRACTION, VA, 02 - Automobile, 2003, DODGE, WHITE, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2015, MINI COOPER, WHITE, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2015, MINI COOPER, WHITE, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
20:00:00, 1st district Rockville, RECKLESS DRIVING, MD, 02 - Automobile, 2005, CADI, BLACK, Citation, Transportation Article, No, WHITE, M, POINT OF ROCK, MD, WV, A - Marked Patrol
16:00:00, 2nd district Bethesda, PHONE RELATED, VA, 02 - Automobile, 1996, HONDA, SILVER, Citation, Transportation Article, No, HISPANIC, M, ARLINGTON, VA, VA, A - Marked Patrol
21:00:00, 3rd district Silver Spring, MINOR INFRACTION, MD, 02 - Automobile, 2004, CHEVROLET, SILVER, Citation, Transportation Article, No, WHITE, F, SILVER SPRING, MD, MD, A - Marked Patrol
0:00:00, 2nd district Bethesda, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2005, AUDI, GRAY, Citation, Transportation Article, No, WHITE, M, DERWOOD, MD, MD, A - Marked Patrol
23:00:00, 5th district Germantown, MINOR INFRACTION, MD, 02 - Automobile, 2002, TOYT, RED, Citation, Transportation Article, No, ASIAN, F, GERMANTOWN, MD, MD, A - Marked Patrol
21:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2009, DODGE, BLACK, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
23:00:00, 4th district Wheaton, PLATE VIOLATION, MD, 02 - Automobile, 2000, SATURN, SILVER, Citation, Transportation Article, No, BLACK, F, BELTSVILLE, MD, MD, A - Marked Patrol
17:00:00, 6th district Gaithersburg / Montgomery Village, RECKLESS DRIVING, MD, 02 - Automobile, 2003, HONDA, GOLD, Citation, Transportation Article, Yes, BLACK, M, GAITHERSBURG, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2015, MINI COOPER, WHITE, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
13:00:00, 5th district Germantown, ACCIDENT RELATED, MD, 02 - Automobile, 2005, TOYOTA, BLACK, Citation, Transportation Article, No, BLACK, M, ROCKVILLE, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2015, MINI COOPER, WHITE, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
8:00:00, 1st district Rockville, LICENSE OR REGISTRATION RELATED, VA, 28 - Other, 2002, FORD, WHITE, Citation, Transportation Article, No, HISPANIC, M, ROCKVILLE, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2015, MINI COOPER, WHITE, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
11:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 1991, LEXUS, BLACK, Citation, Transportation Article, No, BLACK, M, WASHINGTON, DC, DC, A - Marked Patrol
